Continuing Education;Private (training institution, company, etc.);;;;;"Learning objectives
Implement a collective dynamic to facilitate the sharing of experience.
Define the challenges and contexts of digital technology and why it is crucial to integrate an eco-design approach.
Understand why and how an eco-design approach can reduce the impact of digital technology on the environment and the exclusion of people.
Take a step back from ""business as usual"" in IT projects.
Use a methodology to deploy Sustainable Digital Technology in projects.
To acquire and put into practice in the form of workshops the basic knowledge on the subject of Sustainable Digital.
Identify the existing reference systems and tools.
Understand ecodesign applied to digital services.
To be able to design software by integrating good digital eco-design practices.
Understand that the environmental, technical and security performances of digital services converge.
To know the tools available to implement ecodesign applied to digital services.
To reinforce the good practices of the development and design professions in order to effectively implement ecodesign.
To develop and transmit a holistic approach to ecodesign of digital services.";Consulting firm, Coaching firm and Qualiopi certified training organisation;Ihmisen Academy;Sustainable Digital - Ecodesign for Lead Dev, Developers and UX Designers;Toulouse;Certificate of completion of the course;3;Face-to-face and distance learning;https://www.ihmisen.com/NRE080_Ecoconception-pour-les-lead-dev-developpeurs-UX-designers.php
Continuing Education;Private (training institution, company, etc.);;;;;"Objectives of the course :
- To have the theory and practice of the subjects Digital Responsibility and Digital Ecodesign
- Understand the impacts of digital technology in the context of global issues
- To master the differences in concepts and values present in Sustainable Digital
- To approach the digital eco-design approach in a simple and tool-rich way
- Take action by creating a digital sobriety reflex within future digital projects
- To think concretely about the eco-design of a digital service by minimising its environmental impact via an optimisation exercise

The detailed programme is as follows:
1/ The current context, environmental and social issues
2/ The global impact of digital technology: Life Cycle Assessment (LCA) of digital technology and of a digital service project
3/ The impact of material manufacturing, of our daily use of digital technology and of the end of life
4/ Focus on sobriety and responsibility: definition of the concepts of digital sobriety, low-tech, green IT, IT4Green, accessibility, inclusion, illectronism, digital eco-design, Green-UX, respect for personal data, ethics and Sustainable Digital
5/ Collective reflection workshop to define and categorise good practices in ecodesign and Sustainable Digital design
6/ What do I do? Guides, reference systems and good practices in digital ecodesign, while paying attention to the rebound effects
7/ The digital ecodesign approach: interest, method, measurement tools and demonstration with practical cases
8/ (1 day practical workshop) Improvement of a fictitious web project from the UX design stage";Company delivering Qualiopi certified training;Temesis;Understanding digital responsibility & the digital eco-design approach, with practical workshops;Paris;Validation of participation;1;Face-to-face and distance learning;http://www.temesis.com
Continuing Education;Private (training institution, company, etc.);;;;;A workshop to understand in a team and in a playful way the environmental stakes of digital technology.;Association;La Fresque Du Numérique;The Digital Fresco;All of France;No;0,5;Face-to-face and distance learning;https://www.fresquedunumerique.org/
Continuing Education;Private (training institution, company, etc.);;;;;"To enable a digital service manager to adopt Sustainable Digital behaviour, in accordance with the Sustainable Digital Label reference framework. This training course will enable you to understand the INR standard and to be able to commit, with the complementary training course ""Sustainable Digital Labelling Process"", to the LNR labelling process.";Labelling agency;Agence Lucie;Mastering the challenges and managing a Sustainable Digital approach with the NR label;Paris;"On the way to certification
Yes, validation of skills :
-Understand the challenges of Sustainable Digital technology and the key behaviours to adopt in order to respect them.
-Knowing the Sustainable Digital Label reference framework and the challenges of this theme.
-Knowing how to evaluate the challenges, its level and its areas of improvement on Sustainable Digital.

-Identify the priorities specific to your organisation in the context of its NR approach. Prepare for an external NR audit.
-Draft concrete, engaging, achievable commitments that meet the expectations of a certification committee.
-Be able to prepare an organisation's self-assessment and to conduct an NRL1 or NRL2 certification process in a company or organisation.";3;Face-to-face and distance learning;https://docs.zohopublic.eu/folder/1ciiyda9edd3f0194450b9507cffdd32025d6
Continuing Education;Private (training institution, company, etc.);;;;;"Understanding the links between GAFAM and the environmental impact of digital technology
How to protect your personal data while limiting your digital impact
Taking stock of the digital world
Setting up a smartphone to reduce its energy footprint
Test of free and open source solutions
Presentation of alternatives (local and decentralised networks)
Use of audit and test tools
Good practices";Independent trainer;TkPx;Digital Sobriety and Eco-Sustainable Internet;La Bernardière;No;0,5;Face-to-face and distance learning;https://tkpx.eu/formations-Professionalles/
Continuing Education;Private (training institution, company, etc.);;;;;"The Sustainable Digital Trivial workshop is a playful solution in the form of a workshop that has proved its worth to organisations that, like you, wanted to integrate their information system into their CSR strategy.

The workshop includes: a pack of cards for each participant, a briefing meeting for framing before delivery, 4 posters on the impacts of digital technology, a post-workshop online survey, and a final summary poster to promote the action internally and externally.";Consulting company;OM Conseil;Sustainable Digital Trivia Workshop;Versailles;No;0,5;Face-to-face and distance learning;https://www.om-conseil.fr/atelier-ludique-de-sensibilisation-au-numerique-responsable/
Continuing Education;Private (training institution, company, etc.);;;;;"At the heart of economic, societal and environmental issues, digital transformation is disrupting consumption models and giving rise to digital uses with real societal and ecological impacts. This training course gives you the keys to initiate a Sustainable Digital transformation.

Pedagogical objectives
At the end of the training, the participant will be able to :
Identify the environmental and societal issues and impacts of digital technology
Integrate the solutions of a more Sustainable Digital
Initiate a digital responsibility approach in their organisation";Training organisation;Orsys;Initiating a Sustainable Digital transformation;Puteaux-La défense;"The trainer evaluates the participant's progress throughout the course by means of multiple choice tests, role-playing exercises, practical work, etc.
The participant also completes a positioning test before and after the course to validate the skills acquired.";1;Face-to-face and distance learning;https://www.orsys.fr/formation-amorcer-une-transformation-numerique-responsable.html
Continuing Education;Private (training institution, company, etc.);;;;;"Ecodesign of digital services training
Ecodesign is a major lever for reducing the impact of digital services. How and when to implement an ecodesign approach? What tools, what benefits? This training will enable you to apply the fundamental concepts of ecodesign to your digital services.

Pedagogical objectives
At the end of the training, the participant will be able to :
Understand the challenges of Sustainable Digital design
Know the tools for implementing an ecodesign approach for a digital service
Assess the environmental impacts of a digital service
Identify the eco-design levers
Integrate an eco-design approach into the development of a digital service
Measuring the benefits of an ecodesign approach";Training organisation;Orsys;Ecodesign of digital services;Puteaux-La défense;"The trainer evaluates the participant's progress throughout the course by means of multiple choice tests, role-playing exercises, practical work, etc.
The participant also completes a positioning test before and after the course to validate the skills acquired.";2;Face-to-face and distance learning;https://www.orsys.fr/formation-ecoconception-des-services-numeriques.html
Continuing Education;Private (training institution, company, etc.);;;;;"This training will enable you to identify the main action levers to be implemented to become eco-Sustainable in IT management. You will see how to significantly reduce certain financial charges, particularly those relating to electricity consumption.

Pedagogical objectives
At the end of the training, the participant will be able to :
Know the evolution of Green IT
Analyse the life cycle of IT equipment
Propose different solutions to reduce data centre costs
Implement and monitor the Green IT project";Training organisation;Orsys;Green IT, approach and implementation;Puteaux-La défense;"The trainer evaluates the participant's progress throughout the course by means of multiple choice tests, role-playing exercises, practical work, etc.
The participant also completes a positioning test before and after the course to validate the skills acquired.";2;Face-to-face and distance learning;https://www.orsys.fr/formation-green-it-demarche-mise-en-oeuvre.html
Continuing Education;Private (training institution, company, etc.);;;;;"At the end of this course, you will be able to identify the key areas for reducing the power consumption of a data centre and will be able to implement improvement solutions that promote energy and environmental performance.

Learning objectives
At the end of the course, the participant will be able to :
Optimise the various Green IT projects
Carry out an assessment of energy and environmental performance
Choose the appropriate IT solutions for the needs
Select the solutions related to the infrastructure";Training organisation;Orsys;Green Data Center, optimising its energy performance;Puteaux-La défense;"The trainer evaluates the participant's progress throughout the course by means of multiple choice tests, role-playing exercises, practical work, etc.
The participant also completes a positioning test before and after the course to validate the skills acquired.";2;Face-to-face and distance learning;https://www.orsys.fr/formation-green-data-center-optimiser-votre-performance-energetique.html
Continuing Education;Private (training institution, company, etc.);;;;;"Accessibility is the ability of a digital resource to be used through web or mobile applications by any individual regardless of their ability. This seminar will teach you the essentials to be aware of the subject of digital accessibility, in order to improve its consideration.

Pedagogical objectives
At the end of the training, the participant will be able to :
Understand the different types of disabilities
Understand digital accessibility, its impacts and benefits
Know the laws and technical standards";Training organisation;Orsys;Raising awareness of digital accessibility;Puteaux-La défense;"The trainer evaluates the participant's progress throughout the course by means of multiple choice tests, role-playing exercises, practical work, etc.
The participant also completes a positioning test before and after the course to validate the skills acquired.";1;Face-to-face and distance learning;https://www.orsys.fr/formation-sensibilisation-a-l-accessibilite-numerique.html
Continuing Education;Private (training institution, company, etc.);;;;;"Thanks to the accessibility standards in place, all users with disabilities can perceive, understand, navigate and interact on the web. This course will introduce you to the essential knowledge and good practices to follow in order to achieve accessibility at all stages of a web project.

Pedagogical objectives
At the end of the course, the participant will be able to :
Know and evaluate the accessibility criteria
Know how to manage the taking into account of accessibility at the different stages of a web project
Have indicators of cost and complexity
Identify the challenges and key elements to successfully take accessibility into account";Training organisation;Orsys;Digital accessibility in a project;Puteaux-La défense;"The trainer evaluates the participant's progress throughout the course by means of multiple choice tests, role-playing exercises, practical work, etc.
The participant also completes a positioning test before and after the course to validate the skills acquired.";1;Face-to-face and distance learning;https://www.orsys.fr/formation-accessibilite-numerique-dans-un-projet.html
Continuing Education;Private (training institution, company, etc.);;;;;"Accessibility of websites and mobile applications is a business necessity, and in some cases a regulatory requirement. The RGAA lists the accessibility criteria. This practical course presents the RGAA audit process for websites and mobile applications.

Pedagogical objectives
At the end of the course, the participant will be able to :
Know the main accessibility standards for a website and their relationships
Be able to find and explain the accessibility criteria of the RGAA
Be able to find and explain the accessibility criteria of the RGAA-APPS
Be able to find the tools for validating the accessibility criteria of a website or a mobile application
Know how to conduct the RGAA audit of a website or a mobile application and report on it";Training organisation;Orsys;RGAA, auditing the accessibility of a website or a mobile application;Puteaux-La défense;"The trainer evaluates the participant's progress throughout the course by means of multiple choice tests, role-playing exercises, practical work, etc.
The participant also completes a positioning test before and after the course to validate the skills acquired.";5;Face-to-face and distance learning;https://www.orsys.fr/formation-rgaa-audit-accessibilite-site-web-ou-application-mobile.html
Continuing Education;Private (training institution, company, etc.);;;;;#NOM?;School of Engineering;ESAIP;Understanding the challenges of digital responsibility;Saint-Barthélemy d'Anjou;Yes // ECTS credits?;2;Face-to-face and distance learning;www.esaip.org
Initial training;Private (training institution, company, etc.);;;;;"Understand software ecodesign (definition, scope, limits, etc.)
Master the general principles of software ecodesign: - Architecture - Social and environmental dimension
Green Patterns";School of Engineering;ESAIP;Software eco-design;Saint-Barthélemy d'Anjou;Yes // ECTS credits?;3;Face-to-face and distance learning;www.esaip.org
Initial training;Private (training institution, company, etc.);;;;;"Tools for analysing a computer network
Implementation of an energy management policy for an IT network
Optimisation of infrastructures (Cloud, Virtualisation, ...)";School of Engineering;ESAIP;Eco-Sustainable Systems and Networks;Saint-Barthélemy d'Anjou;Yes // ECTS credits?;3;Face-to-face and distance learning;www.esaip.org
Continuing Education;Private (training institution, company, etc.);;;;;#NOM?;Consulting firm and training organisation;Ideance;Discovering digital accessibility;Rouen;No;0,5;Face-to-face and distance learning;https://ideance.net/fr/formation-accessibilite/
Continuing Education;Private (training institution, company, etc.);;;;;#NOM?;Consulting firm and training organisation;Ideance;Steering the inclusion of accessibility;Rouen;No;0,5;Face-to-face and distance learning;https://ideance.net/fr/formation-accessibilite/
Continuing Education;Private (training institution, company, etc.);;;;;#NOM?;Consulting firm and training organisation;Ideance;Designing accessible interfaces;Rouen;No;1;Face-to-face and distance learning;https://ideance.net/fr/formation-accessibilite/
Continuing Education;Private (training institution, company, etc.);;;;;#NOM?;Consulting firm and training organisation;Ideance;Writing and publishing accessible content;Rouen;No;1;Face-to-face and distance learning;https://ideance.net/fr/formation-accessibilite/
Continuing Education;Private (training institution, company, etc.);;;;;"- Know how to take accessibility into account and respect the RGAA during the technical development of a web project
- Know the rules of web accessibility (HTML, CSS, JavaScript)
- Know how to evaluate the accessibility of your web developments";Consulting firm and training organisation;Ideance;Developing accessible websites and applications;Rouen;No;3;Face-to-face and distance learning;https://ideance.net/fr/formation-accessibilite/
Continuing Education;Private (training institution, company, etc.);;;;;#NOM?;Consulting firm and training organisation;Ideance;Developing accessible mobile applications;Rouen;No;2;Face-to-face and distance learning;https://ideance.net/fr/formation-accessibilite/
